COD_GRUPO_GR,NME_GRUPO_GR,NME_MUNICIPIO_GR,NME_DEPARTAMENTO_GR,ID_AREA_CON_GR,NME_AREA_GR,NME_GRAN_AREA_GR,NME_CLASIFICACION_GR,INST_AVAL
COL0016283,Socialización y violencia,BOGOTA D.C.,BOGOTA D.C.,5I,Otras ciencias sociales,Ciencias sociales,B,FUNDACION UNIVERSIDAD CENTRAL
COL0018751,ECITRONICA,BOGOTA D.C.,BOGOTA D.C.,2B,"Ingenierias electrica, electronica e informatica",Ingeniería y tecnología,A,ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO - E.C.I.
COL0013334,Línea de Investigación en Jóvenes y Culturas Juveniles,BOGOTA D.C.,BOGOTA D.C.,5D,Sociología,Ciencias sociales,C,FUNDACION UNIVERSIDAD CENTRAL
COL0013316,Genero y Cultura,BOGOTA D.C.,BOGOTA D.C.,5I,Otras ciencias sociales,Ciencias sociales,C,FUNDACION UNIVERSIDAD CENTRAL
COL0008764,GEGI - Gestión Empresarial & Gestión de Innovación,BOGOTA D.C.,BOGOTA D.C.,2K,Otras ingenierías y tecnologías,Ingeniería y tecnología,B,UNIVERSIDAD CATOLICA DE COLOMBIA - U.C.C.
COL0020571,"Palabra, pueblo y vida",BOGOTA D.C.,BOGOTA D.C.,6E,Otras humanidades,Humanidades,B,CORPORACION UNIVERSITARIA MINUTO DE DIOS
COL0005584,GIP,BOGOTA D.C.,BOGOTA D.C.,2K,Otras ingenierías y tecnologías,Ingeniería y tecnología,B,UNIVERSIDAD CATOLICA DE COLOMBIA - U.C.C.
COL0022164,Grupo de Virología,BOGOTA D.C.,BOGOTA D.C.,3C,Ciencias de la salud,Ciencias medicas y de la salud,A1,UNIVERSIDAD EL BOSQUE
COL0024534,Investigación y Desarrollo en Operación del Transito-GIDOT,TUNJA,BOYACA,2A,Ingeniería civil,Ingeniería y tecnología,A,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA
COL0024122,"Lógica, Epistemología y Filosofía de la Ciencia",BOGOTA D.C.,BOGOTA D.C.,6E,Otras humanidades,Humanidades,A1,UNIVERSIDAD DE LOS ANDES - UNIANDES | COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO
COL0021659,Educación Matematica,BOGOTA D.C.,BOGOTA D.C.,1A,Matematica,Ciencias naturales,A,UNIVERSIDAD ANTONIO NARIÑO
COL0019104,"Investigaciones Pedagógicas en el area las Matematicas ""INPEMA""",QUIBDO,CHOCO,6E,Otras humanidades,Humanidades,C,UNIVERSIDAD TECNOLOGICA DEL CHOCO - DIEGO LUIS CORDOBA
COL0014369,Grupo de Investigación Fundamental y Aplicada en Materiales-GIFAM,TUNJA,BOYACA,1C,Ciencias físicas,Ciencias naturales,C,UNIVERSIDAD ANTONIO NARIÑO
COL0021372,GRUBIODEQ(Grupo de Biotecnología. Depto de Química y Depto de Biología),MONTERIA,CORDOBA,1D,Ciencias químicas,Ciencias naturales,C,UNIVERSIDAD DE CORDOBA - UNICOR
COL0016209,Sistemas Complejos,BOGOTA D.C.,BOGOTA D.C.,1C,Ciencias físicas,Ciencias naturales,A1,UNIVERSIDAD ANTONIO NARIÑO
COL0023509,Gestión de la construcción,MEDELLIN,ANTIOQUIA,2A,Ingeniería civil,Ingeniería y tecnología,C,UNIVERSIDAD EAFIT
COL0006788,Geofísica,BOGOTA D.C.,BOGOTA D.C.,1E,Ciencias de la tierra y medioambientales,Ciencias naturales,C,UNIVERSIDAD ANTONIO NARIÑO
COL0024294,"Sociedad, ciencia y tecnología en Colombia",BOGOTA D.C.,BOGOTA D.C.,5I,Otras ciencias sociales,Ciencias sociales,B,OBSERVATORIO COLOMBIANO DE CIENCIA Y TECNOLOGIA - OCYT
COL0001137,Biotecnología UNIAGRARIA,BOGOTA D.C.,BOGOTA D.C.,2D,Ingeniería química,Ingeniería y tecnología,C,FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA
COL0022511,Grupo de Biofísica,MEDELLIN,ANTIOQUIA,1F,Ciencias biológicas,Ciencias naturales,C,UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL
COL0015919,"SIDRe - Sistemas de Información, Sistemas Distribuidos y Redes de Computadores",BOGOTA D.C.,BOGOTA D.C.,2B,"Ingenierias electrica, electronica e informatica",Ingeniería y tecnología,A,PONTIFICIA UNIVERSIDAD JAVERIANA
