CODIGO_PROYECTO,TITULO_PROYECTO,ENTIDAD,AREA_TEMATICA,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,,,,,,,
417345522072,Navegacion movil para Colombia con rutas basadas en Trafico vehicular,MERIDIAN GROUP S.A.,TELECOMUNICACIONES,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
439845525005,Modulo de Software para Visualizacion de Tendencias de Modos de Deflexion en Tiempo Real de Rotores de Turbomaquinas.,A-MAQ S.A - ANALISIS DE MAQUINARIA,INFORMATICA,ANTIOQUIA,MEDELLIN,,,,,,,
612845525100,Estudio de Inteligencia Competitiva de Mercados en Estados Unidos Mexico Centro America y Sur America para la Identificacion de las Buenas Practicas en el Manejo de Cultivos Agroindustriales para el Mejoramiento del Software MyAgri de Compunet S.A.,INTEGRADORES DE TECNOLOGIA INFORMATICA - COMPUNET S.A.,INFORMATICA,VALLE DEL CAUCA,CALI,,,,,,,
309845522033,PROYECTO DE ACTUALIZACION TECNOLOGICA DE LA SOLUCION TICKET PLUS PARA MEJORAR LA COMPETITIVIDAD NACIONAL E INTERNACIONAL DE LA EMPRESA CONSULTORES TECNOLOGICOS ASOCIADOS LTDA. EN EL SECTOR DEL TRANSPORTE INTERMUNICIPAL DE PASAJEROS,ESICenter SinerTIC ANDINO,INFORMATICA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
438945525888,Retos en el diseno y desarrollo de telas vinilicas de alta especificacion.,PLASTIQUIMICA S.A.S.,INFORMACION NO SOLICITADA,ANTIOQUIA,SABANETA,,,,,,,
726245522078,MULTIPLICACION CLONAL DE MATERIALES ELITE DE PALMA DE ACEITE  Elaeis guineensis Jaqc.  PARA LOS NUEVOS DESARROLLOS PALMEROS EN COLOMBIA.,CORPORACION CENTRO DE INVESTIGACIONES EN PALMA DE ACEITE - CENIPALMA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
338745522074,Mejoramiento de la calidad e inocuidad de los productos carnicos embutidos mediante el desarrollo de empaques activos,ALICO S.A.,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
419145422099,FORTALECIMIENTO DEL LABORATORIO DE QUINTAL S.A. POR MEDIO DE LA TRANSFERENCIA TECNOLOGICA DEL EQUIPO DE PLASMA ACOPLADO INDUCTIVAMENTE.,QUIMICA INTERNACIONAL S.A. - QUINTAL S.A.,INFORMACION NO SOLICITADA,ATLANTICO,BARRANQUILLA,,,,,,,
417445522073,Recuperacion y Regeneracion de materiales postconsumo en plasticos caucho y aceite usado cerrando su ciclo de vida ,COMERCIALIZADORA INTERNACIONAL PLASTIGOMA S.A.,INFORMACION NO SOLICITADA,CALDAS,MANIZALES,,,,,,,
860145522117,Implementacion de cambios tecnologicos en procesos y partes para la produccion de nuevos modelos de vehiculos mas ecologicos y con nuevas especificaciones tecnicas para la apertura del mercado mexicano.,SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A. SOFASA,INFORMACION NO SOLICITADA,CUNDINAMARCA,CHIA,,,,,,,
121045525872,INTEGRACION VERTICAL PARA LA PRODUCCION PILOTO DE PUNTERAS PROTOTIPO DE SEGURIDAD FABRICADAS EN COMPOSITES,UNIVERSIDAD PONTIFICIA BOLIVARIANA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
418645722091,MEJORAMIENTO DEL PROCESO DE ELECTRODEPOSICION DE COBRE UTILIZANDO SOLUCIONES LIBRES DE CIANURO EN LA EMPRESA FANTAXIAS LTDA.,FANTAXIAS LTDA.,C. DEL MEDIO AMBIENTE Y HABITAT,SANTANDER,BUCARAMANGA,,,,,,,
111545425003,Influencia de diferentes variables atmosfericas en el comportamiento de esquemas de pinturas aplicados sobre acero galvanizado (Version Actualizada),UNIVERSIDAD DE ANTIOQUIA - UDEA,OTRAS,ANTIOQUIA,MEDELLIN,,,,,,,
111045426008,DESARROLLO DE UN SISTEMA AUTOMATICO DE MAPEO CEREBRAL Y MONITOREO INTRAOPERATORIO CORTICAL Y PROFUNDO APLICACION A LA NEUROCIRUGIA,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,NUEVAS TECNOLOGIAS ELECTRONICAS,RISARALDA,PEREIRA,,,,,,,
309845422034,UBI-FACTURA OPEN SOURCE,ESICenter SinerTIC ANDINO,INFORMATICA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
211745425621,TEST (TESAmerica Software Trainning) Version 2,UNIVERSIDAD ICESI,INFORMATICA,VALLE DEL CAUCA,CALI,,,,,,,
123045425385,ELABORACION DE EMBUTIDOS CARNICOS BIOCONSERVADOS,UNIVERSIDAD DE LA SABANA - UNISABANA,INFORMACION NO SOLICITADA,CUNDINAMARCA,CHIA,,,,,,,
309845425879,PROYECTO SERVICIO DE GESTION Y AUDITORIA DE LA CALIDAD DE DATOS EMPRESARIALES Q_INFO ,ESICenter SinerTIC ANDINO,INFORMATICA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
121545425916,LA EMPRESA SIN PAPELES. DESARROLLO Y VALIDACION DE NUEVAS TECNOLOGIAS INFORMATICAS DE GESTION DOCUMENTAL PARA LA MEJORA Y DIGITALIZACION DE PROCESOS - IBERODOC,UNIVERSIDAD DEL NORTE - UNINORTE,INFORMATICA,ATLANTICO,BARRANQUILLA,,,,,,,
309845425019,VOTACION ELECTRONICA SEGURA,ESICenter SinerTIC ANDINO,INFORMATICA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
327745422108,Solucion Tecnologica integral basada en metrologia estadistica y TIC para el aseguramiento de las mediciones en Gases de Occidente S.A. E.S.P.,CORPORACION CENTRO DE DESARROLLO TECNOLOGICO DEL GAS - CDT DEL GAS,AUTOMATIZACION Y MODERNIZACION DE PROCESOS,SANTANDER,BUCARAMANGA,,,,,,,
233345425947,Diseno e implementacion de centros de almacenamiento automatizados mediante la aplicacion de tecnologias EPC-RFID,FUNDACION CENTRO DE INVESTIGACION EN MODELACION EMPRESARIAL DEL CARIBE - FCIMEC,AUTOMATIZACION Y MODERNIZACION DE PROCESOS,ATLANTICO,BARRANQUILLA,,,,,,,
111845422111,RECUPERACION DE ORO ELIMINANDO EL USO DE MERCURIO E IMPLEMENTANDO NUEVAS ALTERNATIVAS TECNOLOGICAS DE CONCENTRACION EN LA ETAPA DE LIMPIEZA FINAL,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,MINERIA,ANTIOQUIA,MEDELLIN,,,,,,,
335145425026,Proyecto de implementacion de la tecnologia RFID en la ultima milla de la cadena textil confeccion                                                                                                                                                                              ,FUNDACION LOGyCA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
230945425009,ESTANDARIZACION Y VALIDACION DE LOS PROCESOS PARA LA OBTENCION DE UN ENLATADO TIPO ATUN EN CONSERVA CON ADITIVOS (N.TC. 1276) MEDIANTE EL APROVECHAMIENTO DE LOS SUBPRODUCTOS OBTENIDOS DEL PROCESO INDUSTRIAL DEL FILETEO DE LA TILAPIA PLATEADA (Oreochromis niloticus)  Var Chitralada.2vers,CORPORACION CENTRO DE DESARROLLO TECNOLOGICO PISCICOLA SURCOLOMBIANO - ACUAPEZ,INFORMACION NO SOLICITADA,HUILA,NEIVA,,,,,,,
121045422085,Diseno y construccion de una camara de fermentacion para productos carnicos madurados,UNIVERSIDAD PONTIFICIA BOLIVARIANA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
338745425907,OBTENCION CARACTERIZACION Y APLICACION DE FIBRA DIETARIA A PARTIR DE SUBPRODUCTOS DE NARANJA EN PRODUCTOS CARNICOS Y DE PANADERIA.,INSTITUTO DE CIENCIA Y TECNOLOGIA ALIMENTARIA - FUNDACION INTAL,INFORMACION NO SOLICITADA,ANTIOQUIA,ITAGUI,,,,,,,
111845426007,RESISTENCIA A LA FATIGA DE PARES RUEDA-RIEL BAJO CONDICIONES DE OPERACION DEL METRO DE MEDELLIN,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
121645422105,Desarrollo de materiales con propiedades de aislamiento termico y acustico  para aplicacion en el sector de la construccion,UNIVERSIDAD EAFIT,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
