NRO_ISSN,TITULO,INST_EDITORA,TXT_CLASIFICACION,MUNICIPIO,DEPARTAMENTO
2256-151X, ESPIRAL Revista de Docencia e Investigacion,UNIVERSIDAD SANTO TOMAS SECCIONAL BUCARAMANGA,C,BUCARAMANGA,SANTANDER
2256-1676, Revista de Investigaciones,CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO,C,BUCARAMANGA,SANTANDER
2145-3985,[Con]textos,UNIVERSIDAD SANTIAGO DE CALI - USC,C,CALI,VALLE DEL CAUCA
2215-8944,Academia  Derecho,UNIVERSIDAD LIBRE DE COLOMBIA,B,BOGOTA D.C.,BOGOTA D.C.
2011-0731,ACADEMIA Y VIRTUALIDAD ,UNIVERSIDAD MILITAR NUEVA GRANADA - UNIMILITAR,C,BOGOTA D.C.,BOGOTA D.C.
0120-2812,ACTA AGRONOMICA,UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL,C,BOGOTA D.C.,BOGOTA D.C.
2323-0118,Acta Agronomica,UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL,C,BOGOTA D.C.,BOGOTA D.C.
1900-1649,Acta Biologica Colombiana,UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL,A2,BOGOTA D.C.,BOGOTA D.C.
0122-7262,Acta Colombiana De Cuidado Intensivo,ASOCIACION COLOMBIANA DE MEDICINA CRITICA Y CUIDADO INTENSIVO,C,BOGOTA D.C.,BOGOTA D.C.
0123-9155,ACTA COLOMBIANA DE PSICOLOGIA,UNIVERSIDAD CATOLICA DE COLOMBIA - U.C.C.,B,BOGOTA D.C.,BOGOTA D.C.
0120-8411,ACTA DE OTORRINOLARINGOLOGIA  CIRUGIA DE CABEZA Y CUELLO,ASOCIACION COLOMBIANA DE OTORRINOLARINGOLOGIA CIRUGIA DE CABEZA Y CUELLO MAXILOFACIAL Y ESTETICA FACIAL,C,BOGOTA D.C.,BOGOTA D.C.
0120-2448,ACTA MEDICA COLOMBIANA,ASOCIACION COLOMBIANA DE MEDICINA INTERNA - ACMI,C,BOGOTA D.C.,BOGOTA D.C.
0120-8748,ACTA NEUROLOGICA COLOMBIANA,ASOCIACION COLOMBIANA DE NEUROLOGIA,A2,BOGOTA D.C.,BOGOTA D.C.
2027-7822,Acta Odontologica Colombiana,UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL,C,BOGOTA D.C.,BOGOTA D.C.
0304-3584,ACTUALIDADES BIOLOGICAS,UNIVERSIDAD DE ANTIOQUIA - UDEA,A2,MEDELLIN,ANTIOQUIA
0120-1700,ACTUALIDADES PEDAGOGICAS,UNIVERSIDAD DE LA SALLE - UNISALLE,C,BOGOTA D.C.,BOGOTA D.C.
0123-5583,ACTUALIZACIONES EN ENFERMERIA,FUNDACION SANTA FE DE BOGOTA - FSFB,C,BOGOTA D.C.,BOGOTA D.C.
1692-0279,AD-MINISTER,UNIVERSIDAD EAFIT,A2,MEDELLIN,ANTIOQUIA
0120-3754,Administracion  Desarrollo ,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA,C,BOGOTA D.C.,BOGOTA D.C.
0124-0102,ADVOCATUS,UNIVERSIDAD LIBRE DE COLOMBIA,B,BOGOTA D.C.,BOGOTA D.C.
0123-8884,AFFECTIO SOCIETATIS,UNIVERSIDAD DE ANTIOQUIA - UDEA,C,MEDELLIN,ANTIOQUIA
2215-7360,Aglala,CORPORACION UNIVERSITARIA RAFAEL NUNEZ,B,CARTAGENA DE INDIAS,BOLIVAR
0568-3076,Agronomia,UNIVERSIDAD DE CALDAS - UNICALDAS,B,MANIZALES,CALDAS
0120-9965,AGRONOMIA COLOMBIANA,UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL,B,BOGOTA D.C.,BOGOTA D.C.
2011-9771,ALBERTUS MAGNUS,UNIVERSIDAD SANTO TOMAS,C,BOGOTA D.C.,BOGOTA D.C.
2145-0366,Aletheia. Revista de Desarrollo Humano Educativo y Social Contemporaneo,FUNDACION CENTRO INTERNACIONAL DE EDUCACION Y DESARROLLO HUMANO - CINDE,B,MANIZALES,CALDAS
1794-5658,AMAUTA,UNIVERSIDAD DEL ATLANTICO,C,BARRANQUILLA,ATLANTICO
0123-9465,AMBIENTE JURIDICO,UNIVERSIDAD DE MANIZALES - UMANIZALES,C,MANIZALES,CALDAS
0121-7607,Ambiente y Desarrollo,PONTIFICIA UNIVERSIDAD JAVERIANA,C,BOGOTA D.C.,BOGOTA D.C.
1692-2522,ANAGRAMAS  RUMBOS Y SENTIDOS DE LA COMUNICACION,UNIVERSIDAD DE MEDELLIN - UDEM,C,MEDELLIN,ANTIOQUIA
2027-7458,Analecta politica,UNIVERSIDAD PONTIFICIA BOLIVARIANA - SEDE MEDELLIN,C,MEDELLIN,ANTIOQUIA
0121-4705,ANALISIS POLITICO,UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL,A1,BOGOTA D.C.,BOGOTA D.C.
0120-8454,Analisis Revista Colombiana de Humanidades ,UNIVERSIDAD SANTO TOMAS,C,BOGOTA D.C.,BOGOTA D.C.
1900-5407,Antipoda,UNIVERSIDAD DE LOS ANDES - UNIANDES,B,BOGOTA D.C.,BOGOTA D.C.
0120-2456,ANUARIO COLOMBIANO DE HISTORIA SOCIAL Y DE LA CULTURA,UNIVERSIDAD NACIONAL DE COLOMBIA - OFICIAL,A2,BOGOTA D.C.,BOGOTA D.C.
0122-2066,ANUARIO DE HISTORIA REGIONAL Y DE LAS FRONTERAS,UNIVERSIDAD INDUSTRIAL DE SANTANDER - UIS,C,BUCARAMANGA,SANTANDER
1856-9536,Anuario Electronico de Estudios en Comunicacion Social Disertaciones,COLEGIO MAYOR DE NUESTRA SENORA DEL ROSARIO,B,BOGOTA D.C.,BOGOTA D.C.
